CRASH_ID,UNIT_NBR
15091289,1
15158697,1
15511240,1
14925711,1
15093500,1
15182302,1
15426976,1
15370285,1
15163159,1
14897466,1
15111549,1
15205147,1
15208032,1
15009996,1
15001150,1
14964254,2
15206729,1
15254378,1
15142677,1
15489501,1
15234182,1
15088781,1
15440843,1
15177400,1
15507965,1
15202948,1
15499297,1
15508456,2
14968877,1
15414393,2
14851958,1
14919939,1
15078660,1
15252948,1
14859594,1
14929588,1
14950179,1
15216671,1
14959969,1
15079687,1
15312297,1
15473635,1
15242549,1
15314161,1
14917818,1
15028817,1
14994855,1
15207707,1
14946555,1
15531158,1
15210233,1
15268646,1
14877134,1
14980635,1
15182609,1
15490509,1
14851964,1
15022491,1
15492231,1
14873266,1
15049193,1
15044523,2
15082207,1
15090647,1
15097746,1
15035105,1
15001613,1
15007466,1
14984554,1
15082757,1
15293065,1
15400858,1
15127938,1
15270615,1
14933850,1
15115804,1
14929345,1
14919575,1
15268302,1
14905175,1
15049091,1
15044838,3
15017297,1
15203310,1
15275646,1
14975338,1
15068598,2
15406764,1
14899587,1
14861068,1
15286937,1
15140389,1
15253474,1
14932008,1
15243141,1
14862774,1
15398439,1
15033111,1
15114468,1
15262372,1
15017091,1
15285766,1
14887921,1
14998055,1
15137554,1
15138246,1
15139447,1
14838842,1
14950946,1
15215162,1
15485807,1
15124931,1
15148396,1
15120659,1
15183213,2
14896010,1
14859769,1
15035390,1
15135331,1
15209389,1
15245380,1
15036779,1
15017054,1
14905773,1
14980630,1
15147458,1
15195068,1
14936144,1
14978454,1
15355779,1
15001670,1
15022963,1
14882340,1
14969937,1
15007502,1
15121855,1
15179926,1
14970454,1
15006859,2
15272474,1
15191051,1
15207976,1
15439568,1
15455905,1
15483808,1
14986588,3
15174601,1
15239919,1
14897509,1
14920533,1
14868253,1
15204778,1
14961230,1
15054299,1
15111397,1
15075539,1
15183897,1
15364586,1
15001635,1
15266332,1
15519561,1
14860043,1
14844520,1
14878611,1
15270815,1
14877131,1
14886155,1
15088713,1
15329315,1
14941001,1
15046341,1
14899307,2
15190160,1
15304958,1
15279394,1
14987454,2
14996136,1
15240271,1
15274320,1
14872770,1
14948058,1
15043215,1
15258501,1
14861778,1
15033041,1
15038843,1
15129218,1
15172104,1
14854045,1
15070531,2
15249107,1
14842185,1
15398014,1
15472598,1
14922162,1
15048038,1
14978992,1
14978294,1
14865620,1
15484621,1
15092109,1
15135088,1
14856218,1
15498017,2
14844479,1
15516373,1
14899123,1
14935320,2
14921280,1
15036736,1
15208319,1
15233612,1
15388242,2
14924454,2
15097126,1
15117698,1
15079699,1
15099803,2
15106685,1
15191850,1
15406768,1
15162648,1
14876741,1
15048569,1
15225736,1
15345995,1
15095148,1
15305332,1
14901835,1
15097581,1
14886314,1
14928149,2
14923810,2
15122802,1
15231323,1
15318031,2
15549830,1
14906226,2
14919908,1
14924104,1
15477990,1
15025139,1
15112221,1
15054305,1
15076917,1
15114849,1
15218053,1
15471000,1
14996012,1
15081080,1
15133191,1
15143648,1
15204008,1
14872485,1
14991431,2
15203295,1
15389899,1
15263065,1
15347891,1
15165645,2
15346027,1
15500229,1
15086218,1
15219541,1
14935292,1
15285628,1
15591586,1
15427780,2
14838841,1
15115773,1
15275651,1
15052247,1
15387113,1
15475036,1
15204828,1
15377497,1
14923292,1
14961818,2
15044088,1
15186393,1
15259312,1
15354044,1
15175618,2
15124344,1
15142230,1
